/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc50_vh32] Epoch 0074 | Train 0.000540 | Val 0.000648 | TF 0.7361 | best 0.000647@73
[lr0.0003_k0.5_osc50_vh32] Epoch 0075 | Train 0.000537 | Val 0.000712 | TF 0.7325 | best 0.000647@73
[lr0.0003_k0.5_osc50_vh32] Epoch 0076 | Train 0.000513 | Val 0.000664 | TF 0.7289 | best 0.000647@73
[lr0.0003_k0.5_osc50_vh32] Epoch 0077 | Train 0.000486 | Val 0.000677 | TF 0.7253 | best 0.000647@73
[lr0.0003_k0.5_osc50_vh32] Epoch 0078 | Train 0.000470 | Val 0.000580 | TF 0.7217 | best 0.000580@78
[lr0.0003_k0.5_osc50_vh32] Epoch 0079 | Train 0.000462 | Val 0.000555 | TF 0.7181 | best 0.000555@79
[lr0.0003_k0.5_osc50_vh32] Epoch 0080 | Train 0.000455 | Val 0.000573 | TF 0.7145 | best 0.000555@79
[lr0.0003_k0.5_osc50_vh32] Epoch 0081 | Train 0.000420 | Val 0.000609 | TF 0.7108 | best 0.000555@79
[lr0.0003_k0.5_osc50_vh32] Epoch 0082 | Train 0.000407 | Val 0.000573 | TF 0.7072 | best 0.000555@79
[lr0.0003_k0.5_osc50_vh32] Epoch 0083 | Train 0.000388 | Val 0.000537 | TF 0.7036 | best 0.000537@83
[lr0.0003_k0.5_osc50_vh32] Epoch 0084 | Train 0.000372 | Val 0.000493 | TF 0.7000 | best 0.000493@84
[lr0.0003_k0.5_osc50_vh32] Epoch 0085 | Train 0.000349 | Val 0.000489 | TF 0.6964 | best 0.000489@85
[lr0.0003_k0.5_osc50_vh32] Epoch 0086 | Train 0.000335 | Val 0.000458 | TF 0.6928 | best 0.000458@86
[lr0.0003_k0.5_osc50_vh32] Epoch 0087 | Train 0.000333 | Val 0.000461 | TF 0.6892 | best 0.000458@86
[lr0.0003_k0.5_osc50_vh32] Epoch 0088 | Train 0.000320 | Val 0.000458 | TF 0.6855 | best 0.000458@88
[lr0.0003_k0.5_osc50_vh32] Epoch 0089 | Train 0.000301 | Val 0.000507 | TF 0.6819 | best 0.000458@88
[lr0.0003_k0.5_osc50_vh32] Epoch 0090 | Train 0.000292 | Val 0.000417 | TF 0.6783 | best 0.000417@90
[lr0.0003_k0.5_osc50_vh32] Epoch 0091 | Train 0.000271 | Val 0.000366 | TF 0.6747 | best 0.000366@91
[lr0.0003_k0.5_osc50_vh32] Epoch 0092 | Train 0.000263 | Val 0.000378 | TF 0.6711 | best 0.000366@91
[lr0.0003_k0.5_osc50_vh32] Epoch 0093 | Train 0.000253 | Val 0.000359 | TF 0.6675 | best 0.000359@93
[lr0.0003_k0.5_osc50_vh32] Epoch 0094 | Train 0.000243 | Val 0.000332 | TF 0.6639 | best 0.000332@94
[lr0.0003_k0.5_osc50_vh32] Epoch 0095 | Train 0.000233 | Val 0.000353 | TF 0.6602 | best 0.000332@94
[lr0.0003_k0.5_osc50_vh32] Epoch 0096 | Train 0.000229 | Val 0.000314 | TF 0.6566 | best 0.000314@96
[lr0.0003_k0.5_osc50_vh32] Epoch 0097 | Train 0.000218 | Val 0.000328 | TF 0.6530 | best 0.000314@96
[lr0.0003_k0.5_osc50_vh32] Epoch 0098 | Train 0.000204 | Val 0.000279 | TF 0.6494 | best 0.000279@98
[lr0.0003_k0.5_osc50_vh32] Epoch 0099 | Train 0.000202 | Val 0.000309 | TF 0.6458 | best 0.000279@98
[lr0.0003_k0.5_osc50_vh32] Epoch 0100 | Train 0.000191 | Val 0.000293 | TF 0.6422 | best 0.000279@98
[lr0.0003_k0.5_osc50_vh32] Epoch 0101 | Train 0.000184 | Val 0.000263 | TF 0.6386 | best 0.000263@101
[lr0.0003_k0.5_osc50_vh32] Epoch 0102 | Train 0.000178 | Val 0.000233 | TF 0.6349 | best 0.000233@102
[lr0.0003_k0.5_osc50_vh32] Epoch 0103 | Train 0.000169 | Val 0.000248 | TF 0.6313 | best 0.000233@102
[lr0.0003_k0.5_osc50_vh32] Epoch 0104 | Train 0.000162 | Val 0.000255 | TF 0.6277 | best 0.000233@102
[lr0.0003_k0.5_osc50_vh32] Epoch 0105 | Train 0.000159 | Val 0.000239 | TF 0.6241 | best 0.000233@102
[lr0.0003_k0.5_osc50_vh32] Epoch 0106 | Train 0.000154 | Val 0.000229 | TF 0.6205 | best 0.000229@106
[lr0.0003_k0.5_osc50_vh32] Epoch 0107 | Train 0.000153 | Val 0.000220 | TF 0.6169 | best 0.000220@107
[lr0.0003_k0.5_osc50_vh32] Epoch 0108 | Train 0.000147 | Val 0.000198 | TF 0.6133 | best 0.000198@108
[lr0.0003_k0.5_osc50_vh32] Epoch 0109 | Train 0.000142 | Val 0.000206 | TF 0.6096 | best 0.000198@108
[lr0.0003_k0.5_osc50_vh32] Epoch 0110 | Train 0.000138 | Val 0.000193 | TF 0.6060 | best 0.000193@110
[lr0.0003_k0.5_osc50_vh32] Epoch 0111 | Train 0.000136 | Val 0.000188 | TF 0.6024 | best 0.000188@111
[lr0.0003_k0.5_osc50_vh32] Epoch 0112 | Train 0.000132 | Val 0.000202 | TF 0.5988 | best 0.000188@111
[lr0.0003_k0.5_osc50_vh32] Epoch 0113 | Train 0.000130 | Val 0.000198 | TF 0.5952 | best 0.000188@111
[lr0.0003_k0.5_osc50_vh32] Epoch 0114 | Train 0.000124 | Val 0.000170 | TF 0.5916 | best 0.000170@114
[lr0.0003_k0.5_osc50_vh32] Epoch 0115 | Train 0.000119 | Val 0.000170 | TF 0.5880 | best 0.000170@114
[lr0.0003_k0.5_osc50_vh32] Epoch 0116 | Train 0.000119 | Val 0.000184 | TF 0.5843 | best 0.000170@114
[lr0.0003_k0.5_osc50_vh32] Epoch 0117 | Train 0.000117 | Val 0.000195 | TF 0.5807 | best 0.000170@114
[lr0.0003_k0.5_osc50_vh32] Epoch 0118 | Train 0.000117 | Val 0.000169 | TF 0.5771 | best 0.000169@118
[lr0.0003_k0.5_osc50_vh32] Epoch 0119 | Train 0.000114 | Val 0.000163 | TF 0.5735 | best 0.000163@119
[lr0.0003_k0.5_osc50_vh32] Epoch 0120 | Train 0.000109 | Val 0.000212 | TF 0.5699 | best 0.000163@119
[lr0.0003_k0.5_osc50_vh32] Epoch 0121 | Train 0.000110 | Val 0.000153 | TF 0.5663 | best 0.000153@121
[lr0.0003_k0.5_osc50_vh32] Epoch 0122 | Train 0.000105 | Val 0.000142 | TF 0.5627 | best 0.000142@122
[lr0.0003_k0.5_osc50_vh32] Epoch 0123 | Train 0.000105 | Val 0.000153 | TF 0.5590 | best 0.000142@122
[lr0.0003_k0.5_osc50_vh32] Epoch 0124 | Train 0.000101 | Val 0.000156 | TF 0.5554 | best 0.000142@122
[lr0.0003_k0.5_osc50_vh32] Epoch 0125 | Train 0.000099 | Val 0.000151 | TF 0.5518 | best 0.000142@122
[lr0.0003_k0.5_osc50_vh32] Epoch 0126 | Train 0.000098 | Val 0.000142 | TF 0.5482 | best 0.000142@126
[lr0.0003_k0.5_osc50_vh32] Epoch 0127 | Train 0.000097 | Val 0.000128 | TF 0.5446 | best 0.000128@127
[lr0.0003_k0.5_osc50_vh32] Epoch 0128 | Train 0.000097 | Val 0.000137 | TF 0.5410 | best 0.000128@127
[lr0.0003_k0.5_osc50_vh32] Epoch 0129 | Train 0.000093 | Val 0.000150 | TF 0.5373 | best 0.000128@127
[lr0.0003_k0.5_osc50_vh32] Epoch 0130 | Train 0.000093 | Val 0.000138 | TF 0.5337 | best 0.000128@127
[lr0.0003_k0.5_osc50_vh32] Epoch 0131 | Train 0.000091 | Val 0.000125 | TF 0.5301 | best 0.000125@131
[lr0.0003_k0.5_osc50_vh32] Epoch 0132 | Train 0.000088 | Val 0.000131 | TF 0.5265 | best 0.000125@131
